	Shamrep1	Shamrep2	Shamrep3	ShamM1	ShamM2	MCAOrep1	MCAOrep2	MCAOrep3	MCAOrep4	MCAOrep5	D1M1	D1M2
0610007P14Rik	19.646464646464665	19.646464646464672	19.646464646464654	19.646464646464583	19.646464646464576	15.239538239538234	15.239538239538241	15.239538239538245	15.239538239538238	15.239538239538218	15.239538239538303	15.239538239538177
0610009B22Rik	24.83030303030302	24.83030303030302	24.830303030303018	24.830303030303032	24.830303030303025	23.96681096681097	23.96681096681097	23.966810966810964	23.966810966810964	23.966810966810964	23.96681096681095	23.966810966810947
0610009O20Rik	22.78383838383838	22.78383838383838	22.78383838383838	22.783838383838383	22.78383838383838	23.9018759018759	23.9018759018759	23.901875901875904	23.901875901875904	23.9018759018759	23.901875901875897	23.9018759018759
0610010F05Rik	24.8060606060606	24.8060606060606	24.8060606060606	24.806060606060605	24.80606060606061	23.594516594516588	23.594516594516588	23.594516594516588	23.594516594516588	23.594516594516588	23.594516594516605	23.594516594516595
0610010K14Rik	14.466666666666688	14.466666666666692	14.466666666666677	14.466666666666613	14.46666666666661	14.014430014430019	14.014430014430022	14.014430014430022	14.014430014430022	14.01443001443	14.014430014430067	14.014430014429946
0610011F06Rik	24.250505050505048	24.250505050505048	24.250505050505048	24.250505050505037	24.250505050505048	24.64357864357864	24.643578643578635	24.643578643578635	24.64357864357864	24.643578643578635	24.643578643578646	24.64357864357864
0610030E20Rik	23.583838383838376	23.583838383838376	23.583838383838383	23.58383838383841	23.583838383838405	24.940836940836935	24.940836940836935	24.940836940836938	24.94083694083694	24.940836940836945	24.940836940836917	24.940836940836952
0610031J06Rik	8.42020202020202	8.420202020202021	8.420202020202012	8.420202020202012	8.420202020202009	5.037518037518046	5.037518037518051	5.037518037518037	5.037518037518042	5.037518037518038	5.037518037518035	5.037518037518017
0610037L13Rik	15.349494949494982	15.349494949494993	15.349494949494972	15.349494949494844	15.349494949494844	16.105339105339098	16.105339105339112	16.105339105339116	16.105339105339098	16.105339105339077	16.105339105339183	16.10533910533903
0610040J01Rik	24.10101010101009	24.10101010101009	24.10101010101009	24.101010101010107	24.101010101010107	24.320346320346317	24.320346320346317	24.320346320346314	24.320346320346314	24.320346320346317	24.320346320346303	24.320346320346314
1100001G20Rik	16.92929292929293	16.929292929292924	16.929292929292917	16.92929292929293	16.92929292929297	17.61616161616162	17.6161616161616	17.616161616161577	17.616161616161644	17.616161616161623	17.616161616161598	17.616161616161595
1110001J03Rik	21.573737373737384	21.57373737373739	21.573737373737373	21.573737373737337	21.57373737373732	22.529581529581527	22.52958152958154	22.52958152958153	22.52958152958152	22.529581529581513	22.52958152958157	22.529581529581517
1110004E09Rik	21.32121212121213	21.321212121212138	21.321212121212135	21.321212121212106	21.321212121212085	22.73737373737373	22.737373737373726	22.737373737373755	22.737373737373733	22.737373737373723	22.73737373737375	22.73737373737372
